time,msg.id,msg.len,data
1656732843374,AC,8,0000030004000000
1656732843375,AD,8,FFFF000000000000
1656732843375,A4,8,0000000000000000
1656732843376,A6,8,00000100FEFF0000
1656732843376,AA,8,0700010000008001
1656732843376,A5,8,3606FFFFFFFF1AFE
1656732843376,A4,8,0000000000000000
1656732843384,A3,8,EB45C31EEBB1D71E
1656732843385,C4,8,A2037E0283078307
1656732843385,AF,8,3703000002000000
1656732843385,A7,8,080000000500FEFF
1656732843385,A4,8,0000000000000000
1656732843385,A3,8,EB45C31EECB5E71E
1656732843385,C4,8,A2037E0283078307
1656732843393,C4,8,A1037E0283078307
1656732843394,AF,8,3704000000000000
1656732843394,AD,8,0300000000000000
1656732843394,A3,8,EB45C31EECB5E71E
1656732843394,A6,8,00000400FEFF0000
1656732843401,C4,8,A1037E0283078307
1656732843402,C4,8,A1037E0283078307
1656732843402,AF,8,37052F0500000000
1656732843402,A7,8,060000000C000300
1656732843402,AB,8,0000000000080000
1656732843402,A6,8,F8FFFAFFF8FF0000
1656732843403,A5,8,3B060000000019FE
1656732843409,A4,8,0000000000000000
1656732843410,A3,8,EB45C31EECB5D71E
1656732843410,C4,8,A2037F0283078307
1656732843410,AC,8,0000000041050000
1656732843411,C4,8,A2037E0283078307
1656732843411,AB,8,0000000000080000
1656732843411,AA,8,0700010000008001
1656732843417,A8,8,2200AE52FEFF0000
1656732843418,A7,8,0500000007000000
1656732843418,A6,8,FEFF0000FEFF0000
1656732843418,6B2,8,00C6C6C500000000
1656732843425,AF,8,3801ADFF07000500
1656732843426,AD,8,0200000000000000
1656732843426,AC,8,0000020044050000
1656732843426,C4,8,A1037E0283078307
1656732843433,AF,8,3802040006000000
1656732843433,AD,8,0200000000000000
1656732843433,AC,8,0000000047050000
1656732843434,A3,8,EC45B31EECB5D71E
1656732843440,C4,8,A1037E0284078407
1656732843441,AF,8,3803000002000000
1656732843441,AE,8,1000C01915051920
1656732843441,A0,8,F500F800F600F300
1656732843448,C4,8,A2037E0284078407
1656732843449,AF,8,3804000000000000
1656732843449,AD,8,0200000000000000
1656732843449,A3,8,EB49C31EECB5E71E
1656732843456,C4,8,A1037E0284078407
1656732843457,C4,8,A1037E0283078307
1656732843457,A6,8,0600010000000000
1656732843457,A3,8,EB49C31EECB5E71E
1656732843457,AF,8,38052F0500000000
1656732843457,A4,8,0000000000000000
1656732843464,C4,8,A1037E0284078407
1656732843465,6B2,8,00C6C6C400000000
1656732843465,AF,8,3900410643065500
1656732843465,AD,8,0100000000000000
1656732843465,C4,8,A2037E0284078407
1656732843465,A8,8,2200AE52F2FF0200
1656732843465,AA,8,0700010000008001
1656732843465,A7,8,060000000C000100
1656732843465,AB,8,0000000000080000
1656732843465,A6,8,F8FFF9FFF8FF0000
1656732843472,A5,8,3F06000000001DFE
1656732843473,AF,8,3901ADFFF6FFF8FF
1656732843473,A4,8,0000000000000000
1656732843473,A3,8,EB49C31EECB5E71E
1656732843473,AD,8,0100000000000000
1656732843473,AC,8,0000010056050000
1656732843480,AB,8,0000000000080000
1656732843481,AA,8,0700010000008001
1656732843481,A8,8,2200AE52F4FF0000
1656732843481,C4,8,A2037E0283078307
1656732843488,AF,8,3902F6FF07000000
1656732843489,AD,8,0000000000000000
1656732843489,AC,8,0000000059050000
1656732843489,C4,8,A2037E0283078307
1656732843496,C4,8,A2037E0283078307
1656732843497,AF,8,3903000002000000
1656732843497,AD,8,0200000000000000
1656732843497,C4,8,A2037E0284078407
1656732843504,C4,8,A2037E0283078307
1656732843505,AF,8,3904000000000000
1656732843505,AD,8,0200000000000000
1656732843505,C4,8,A1037E0283078307
1656732843505,A3,8,EB45C31EECB5E71E
1656732843512,AF,8,39052F0500000000
1656732843513,AD,8,0100000000000000
1656732843513,AC,8,0000000062050000
1656732843513,A3,8,EB45C31EECB5E71E
1656732843520,C4,8,A1037E0283078307
1656732843520,AF,8,3A00440643065500
1656732843520,AD,8,0300000000000000
1656732843521,C4,8,A1037E0284078407
1656732843521,C0,8,0000000001000000
1656732843540,C4,8,A1037E0284078407
1656732843541,A4,8,0000000000000000
1656732843541,AC,8,0000000068050000
1656732843541,A3,8,EB45C31EECB5E71E
1656732843541,C4,8,A1037E0284078407
1656732843541,C4,8,A1037E0284078407
1656732843541,C4,8,A1037E0284078407
1656732843548,6B1,8,310100001C1A1B3C
1656732843549,C4,8,A1037E0284078407
1656732843549,AF,8,3A03000002000000
1656732843549,A3,8,EB45C31EECB1D71E
1656732843556,C4,8,A1037E0284078407
1656732843556,AF,8,3A04000000000000
1656732843557,AD,8,FFFF000000000000
1656732843557,A3,8,EB49C31EECB5D71E
1656732843557,A4,8,0000000000000000
1656732843564,6B2,8,00C6C6C400000000
1656732843564,C4,8,A2037E0284078407
1656732843564,AF,8,3A052F0500000000
1656732843565,A6,8,0800010001000000
1656732843565,A8,8,2200AE520900FAFF
1656732843565,A5,8,3E060000000019FE
1656732843565,A4,8,0000000000000000
1656732843565,A3,8,EB49C31EECB5D71E
1656732843565,C4,8,A1037E0284078407
1656732843572,C0,8,0000000001000000
1656732843573,C4,8,A2037E0284078407
1656732843573,AF,8,3B00420643065500
1656732843573,AD,8,0100000000000000
1656732843573,A8,8,2200AE520000FFFF
1656732843573,AA,8,0700010000008001
1656732843573,AB,8,0000000000080000
1656732843573,A7,8,0700000005000300
1656732843580,A6,8,0000FFFF01000000
1656732843581,AF,8,3B01ADFFFCFFFBFF
1656732843581,A5,8,3D06000000001AFE
1656732843581,A4,8,0000000000000000
1656732843581,AC,8,000000007A050000
1656732843581,AD,8,0000000000000000
1656732843581,AB,8,0000000000080000
1656732843588,AA,8,0700010000008001
1656732843589,A8,8,2200AE520000FFFF
1656732843589,A7,8,0B00000005000000
1656732843589,C4,8,A2037E0284078407
1656732843596,C4,8,A2037E0284078407
1656732843597,AF,8,3B02F9FF08000000
1656732843597,AD,8,0100000000000000
